,Video ID,Author,Video Description,Video #Views,Euphemism,Annotator 1,Letter 1,Annotator 2,Letter 2
65,7093222743776283909,eat_a_brick27,##greenscreenvideo #fup #fypシ #fax #MoveToTheBeatOfBai #fypシ゚viral #🚩 #tidd1es #iloveoldmen #daddysgirl #n00dles #skinsuk #w #redflags #deep #schoollife #parents #ED #mommyissues #fyp #scarlet #tomholland #cassie #cassieansworth #skins #grosspo #b0nesp0 #assult #assultawarness #sa,645,b0nesp0,,,,
66,7093222376879574277,eat_a_brick27,##greenscreenvideo #fup #fypシ #fax #MoveToTheBeatOfBai #fypシ゚viral #🚩 #tidd1es #iloveoldmen #daddysgirl #n00dles #skinsuk #w #redflags #deep #schoollife #parents #ED #mommyissues #fyp #scarlet #tomholland #cassie #cassieansworth #skins #grosspo #b0nesp0 #assult #assultawarness #sa,547,b0nesp0,,,,
67,7009523717323689222,mani_sl,#saludmental #mentalhealth #estabilidademocional #noestoybien #3atingdisord3r #cosasquepasan,2698,3atingdisord3r,,,,
68,7015805482224979206,mani_sl,#fyp #mentalhealth #sobrepensar #inseguridades #saludmental #estabilidademocional #3atingdisord3r,2258,3atingdisord3r,,,,
69,7012038958918012165,katarinakong,Life stories. #family #life #foryou #siblings #drügś #growingup #fosterhomes #fyp #mystory #real #strong #happy #sad #overcome #foryoupage,17000,drügś,,,,
70,7092950086455414062,cumnuggets_69,#dad#drügś#alcoholismo,541,drügś,,,,
71,6972190251817192710,gees_fightxo,Oops... #fyp #drügś #alcœhœl #sh #òvérdôsè #mentalhealth #impulsive,1212,drügś,,,,
72,6984570904193895681,sr0d._x,##j1h4d #srod #T4B0T #مرن ❤️,1617,j1h4d,,,,
73,6984190456854744321,sr0d._x,#j1h4d #srod #T4B0T #مرن,235,j1h4d,,,,
74,6976982142110731522,kurdo0o18,#j1h4d #كوردستان #iraq اكتيف سفره هاريكاربن ❤️,469,j1h4d,,,,
75,6983807650014235906,korke_x4mg1n,#j1h4d #srod #T4B0T #تابوت💔⚰,106,j1h4d,,,,
76,6976763719296634114,kurdo0o18,#j1h4d #كوردستان #iraq جماعه ت هاريكاربن اكتيف سفره,470,j1h4d,,,,
